State,PC_Name,Total Electors,Polled (%),Total Votes,Phase,Amount spent (INR)
west bengal,Kanthi,1794537,84.77,1521159,6,77244996
west bengal,Medinipur,1811243,81.56,1477309,6,77244996
west bengal,Purulia,1823120,78.39,1429190,6,77244996
west bengal,Tamluk,1850741,84.79,1569233,6,77244996
bihar,Arrah,2165574,50.27,1088685,7,53619242
bihar,Buxar,1923164,55.39,1065290,7,53619242
bihar,Jahanabad,1670327,55.09,920114,7,53619242
bihar,Karakat,1881191,54.68,1028641,7,53619242
bihar,Nalanda,2288240,49.78,1139006,7,53619242
bihar,Patliputra,2073685,59.24,1228549,7,53619242
bihar,Patna Sahib,2292045,46.85,1073847,7,53619242
bihar,Sasaram,1910368,57.16,1091993,7,53619242
chandigarh,Chandigarh,659805,67.98,448547,7,6507258
himachal pradesh,HAMIRPUR,1432636,71.56,1025237,7,12011616
himachal pradesh,KANGRA,1502514,67.89,1020026,7,12011616
himachal pradesh,MANDI,1364060,73.15,997833,7,12011616
himachal pradesh,SHIMLA,1346369,71.26,959445,7,12011616
jharkhand,Dumka,1591061,73.87,1175294,7,16380139
jharkhand,Godda,2028154,68.63,1391960,7,16380139
jharkhand,Rajmahal,1704671,70.78,1206577,7,16380139
odisha,Balasore,1608014,76.77,1234427,7,180252277
odisha,Bhadrak,1770915,73.23,1296802,7,180252277
odisha,Jagatsinghpur,1700814,75.48,1283700,7,180252277
odisha,Jajpur,1545664,74.47,1151038,7,180252277
odisha,Kendrapara,1792723,71.22,1276773,7,180252277
odisha,Mayurbhanj,1542927,75.79,1169335,7,180252277
punjab,Amritsar,1611263,56.06,903206,7,
punjab,Anandpur Sahib,1732211,61.98,1073572,7,
punjab,Bathinda,1651188,69.36,1145241,7,
punjab,Faridkot,1594033,63.34,1009637,7,
punjab,Fatehgarh Sahib,1552567,62.53,970783,7,
punjab,Firozpur,1670008,67.02,1119167,7,
punjab,Gurdaspur,1605204,66.67,1070267,7,
punjab,Hoshiarpur,1601826,58.86,942766,7,
punjab,Jalandhar,1654005,59.7,987508,7,
punjab,Khadoor Sahib,1667797,62.55,1043248,7,
punjab,Ludhiana,1758614,60.12,1057274,7,
punjab,Patiala,1806424,63.63,1149417,7,
punjab,Sangrur,1556601,64.63,1006048,7,
uttar pradesh,Ballia,1923645,52.05,1001317,7,89668131
uttar pradesh,Bansgaon,1820854,51.79,943007,7,89668131
uttar pradesh,Chandauli,1843196,60.58,1116673,7,89668131
uttar pradesh,Deoria,1873821,55.51,1040178,7,89668131
uttar pradesh,Ghazipur,2074883,55.45,1150496,7,89668131
uttar pradesh,Ghosi,2083928,55.05,1147213,7,89668131
uttar pradesh,Gorakhpur,2097202,54.93,1152057,7,89668131
uttar pradesh,Kushi Nagar,1875222,57.57,1079573,7,89668131
uttar pradesh,Maharajganj,2004050,60.31,1208589,7,89668131
uttar pradesh,Mirzapur,1906327,57.92,1104186,7,89668131
uttar pradesh,Robertsganj,1779189,56.78,1010277,7,89668131
uttar pradesh,Salempur,1776982,51.38,913009,7,89668131
uttar pradesh,Varanasi,1997578,56.49,1128527,7,89668131
west bengal,Barasat,1905400,80.17,1527620,7,77244996
west bengal,Basirhat,1804261,84.31,1521154,7,77244996
west bengal,Diamond harbour,1880779,81.04,1524138,7,77244996
west bengal,Dum dum,1699656,73.81,1254452,7,77244996
west bengal,Jadavpur,2033525,76.68,1559330,7,77244996
west bengal,Joynagar,1844780,80.08,1477298,7,77244996
west bengal,Kolkata Dakshin,1849520,66.95,1238256,7,77244996
west bengal,Kolkata Uttar,1505356,63.59,957319,7,77244996
west bengal,Mathurapur,1817068,82.02,1490299,7,77244996
